Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for windows-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:39:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16644816k(3574404k free), swap 41039712k(11202652k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266317056 -XX:+ManagementServer -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
6.362: [GC (Allocation Failure) [PSYoungGen: 164352K->0K(166912K)] 179249K->14897K(278528K), 0.0014158 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.403: [GC (Allocation Failure) [PSYoungGen: 164352K->32K(166912K)] 179249K->14929K(278528K), 0.0016312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.444: [GC (Allocation Failure) [PSYoungGen: 165406K->0K(167424K)] 180304K->14897K(279040K), 0.0012869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.485: [GC (Allocation Failure) [PSYoungGen: 165376K->32K(168448K)] 180273K->14929K(280064K), 0.0012182 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.531: [GC (Allocation Failure) [PSYoungGen: 166432K->32K(168448K)] 181329K->14929K(280064K), 0.0011944 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.572: [GC (Allocation Failure) [PSYoungGen: 166432K->0K(167424K)] 181329K->14897K(279040K), 0.0013729 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
6.613: [GC (Allocation Failure) [PSYoungGen: 166400K->32K(167936K)] 181297K->14929K(279552K), 0.0012415 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.654: [GC (Allocation Failure) [PSYoungGen: 166432K->0K(168960K)] 181329K->14897K(280576K), 0.0011904 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.696: [GC (Allocation Failure) [PSYoungGen: 167424K->0K(168960K)] 182321K->14897K(280576K), 0.0012935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.738: [GC (Allocation Failure) [PSYoungGen: 167424K->32K(168960K)] 182321K->14929K(280576K), 0.0014509 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.779: [GC (Allocation Failure) [PSYoungGen: 167456K->0K(167936K)] 182353K->14897K(279552K), 0.0012640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.818: [GC (Allocation Failure) [PSYoungGen: 167424K->0K(168448K)] 182321K->14897K(280064K), 0.0015778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.858: [GC (Allocation Failure) [PSYoungGen: 167424K->128K(168448K)] 182321K->15025K(280064K), 0.0013437 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.897: [GC (Allocation Failure) [PSYoungGen: 167552K->0K(169472K)] 182449K->14913K(281088K), 0.0015303 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.938: [GC (Allocation Failure) [PSYoungGen: 168448K->32K(169472K)] 183361K->14945K(281088K), 0.0012142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.978: [GC (Allocation Failure) [PSYoungGen: 168480K->0K(169472K)] 183393K->14913K(281088K), 0.0017632 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
7.022: [GC (Allocation Failure) [PSYoungGen: 168448K->32K(169472K)] 183361K->14945K(281088K), 0.0015539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.063: [GC (Allocation Failure) [PSYoungGen: 168480K->0K(169472K)] 183393K->14913K(281088K), 0.0014508 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.102: [GC (Allocation Failure) [PSYoungGen: 168448K->0K(169472K)] 183361K->14913K(281088K), 0.0014249 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.145: [GC (Allocation Failure) [PSYoungGen: 168448K->32K(169472K)] 183361K->14945K(281088K), 0.0014206 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.186: [GC (Allocation Failure) [PSYoungGen: 168992K->0K(169472K)] 183905K->14913K(281088K), 0.0013218 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.226: [GC (Allocation Failure) [PSYoungGen: 168960K->0K(169984K)] 183873K->14913K(281600K), 0.0014477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.266: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184385K->14913K(281600K), 0.0013163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
